,0
375,Action (fiction); Comedy film; Science fiction
376,Drama film; Telenovela
377,Adventure fiction
378,Biopic; Drama (genre)
379,Musical film; Teen sitcom
380,Comedy horror; Fantasy; Superhero fiction; Supernatural fiction; Tokusatsu
381,Black comedy; Comedy horror; Satire (film and television); Slasher film; Surreal humour
382,Drama (film and television); Science fiction on television
383,Family drama; Romantic drama; Serial drama
384,Live television; Musical film; Romantic comedy
385,Action film; Comedy film
386,Lunar New Year
387,Family Drama; Romance film
388,Action fiction; Comedy; Fantasy; Superhero fiction; Tokusatsu
389,Kaiju; Kyodai Hero; Science fiction; Superhero fiction; Tokusatsu
390,Family drama; Romantic drama
391,Action film; Comedy drama; Cyberpunk; Medical drama; Science fiction; Superhero fiction; Tokusatsu
392,Mockumentary; Sitcom; Surreal comedy
393,Fantasy film; Musical film; Teen film
394,Drama; Historical fiction
395,Legal drama; Political drama
396,Drama; Social problem film
397,Country pop
398,Drama; Fantasy; Psychological; Thriller (genre)
399,Idle game; Point-and-click adventure
400,Point-and-click adventure game
401,Electronic dance music; Eurodance; Eurohouse
