movie_uri,movie,releaseDate,runtime,language,budget,boxOffice,plot,franchise,actors,genres,directors,producers,distributors,filmingLocations,awards
http://dbpedia.org/resource/Ameerin_Aadhi-Bhagavan,Ameerin Aadhi-Bhagavan,2013-02-22,9420.0,http://dbpedia.org/resource/Tamil_language,,,"Ameerin Aadhi-Bhagavan (transl. Ameer's Aadhi-Bhagavan) previously known as Aadhi Bhagavan, is a 2013 Indian Tamil-language action film written and directed by Ameer. Produced by DMK politician J. Anbazhagan, the film stars Jayam Ravi in the titular dual role along with Neetu Chandra, Saiju Kurup and Sudha Chandran. The film follows Aadhi, a Thailand-based gangster living separately from his mother and sister due to his criminal activities. His life changes when he rescues a young waitress from goons and soon finds himself drawn in a violent conspiracy hatched by Bhagavan, his Mumbai-based lookalike. The cinematography was handled by R. B. Gurudev and K. Devaraj, while Ram Sudharsan edited the film. The film features a background score from the 2011 Telugu-language film Panjaa composed by Yuvan Shankar Raja, who composed the music for both the films. It also features a Hindi-language song Agadam Bagadam sung by Mohit Chauhan. It is the second Asian film to make use of Auro 3D audio technology after Vishwaroopam. Following a formal announcement in February 2010, the film was in production for a period of three years and filmed primarily across Thailand, in the Indian states of Rajasthan and Goa, as well as the locales of Chennai, Mumbai, Toronto, Ontario and Canada. The film had to undergo a title change following protests from Hindu religious groups. The film also faced censorship issues as the Central Board of Film Certification gave it an A (adults only) certificate in spite of 24 cuts. The film was released theatrically on 22 February 2013 and received mixed reviews from critics. The action sequences and Ravi's performance were praised, but the writing was criticized. In spite of its moderate box office success, the director Ameer announced a sequel. In 2014, Neetu Chandra won the award for Best Actor in a Negative Role (Tamil) at the 3rd South Indian International Movie Awards.",,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://dbpedia.org/resource/America's_Team,America's Team,2003-11-25,4380.0,http://dbpedia.org/resource/English_language,,,"The term ""America’s Team"" is a nickname that refers to the National Football League (NFL)'s Dallas Cowboys. The nickname originated with the team's 1978 highlight film, where the narrator (John Facenda) opens with the following introduction: They appear on television so often that their faces are as familiar to the public as presidents and movie stars. They are the Dallas Cowboys, ""America's Team"". The term is recognized and often used by media outlets, including ESPN, Yahoo!, HBO, and Sports Illustrated.",,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://dbpedia.org/resource/American_-_That's_All,American - That's All,1917-06-03,3000.0,http://dbpedia.org/resource/Silent_film,,,"American - That's All is a 1917 American silent comedy film directed by Arthur Rosson and starring , Winifred Allen and Walter Walker.",,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://dbpedia.org/resource/American_Love_(film),American Love (film),1931-12-26,5760.0,http://dbpedia.org/resource/French_language,,,"American Love (French: L'amour à l'américaine) is a 1931 French comedy film directed by Claude Heymann and Pál Fejös and starring , André Luguet and Suzet Maïs. Based on a play of the same name, it portrays the romantic escapades of a young American woman in France who falls in love with a married man. The film's sets were designed by the art director Gabriel Scognamillo.",,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://dbpedia.org/resource/American_Methods,American Methods,1917-04-30,3600.0,http://dbpedia.org/resource/Silent_film,,,"American Methods is a 1917 American silent drama film directed by Frank Lloyd and starring William Farnum, Jewel Carmen and Bertram Grassby.",,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://dbpedia.org/resource/Ammuvagiya_Naan,Ammuvagiya Naan,2007-09-02,7320.0,http://dbpedia.org/resource/Tamil_language,,,"Ammuvagiya Naan (transl. I, Ammu) is a 2007 Indian Tamil-language drama film directed by Padmamagan starring R. Parthiepan and Bharathi. The music was compose by Sabesh–Murali. The film released in September 2007 and became a hit.",,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://dbpedia.org/resource/Amor_prohibido_(film),Amor prohibido (film),1958-01-16,5940.0,http://dbpedia.org/resource/Spanish_language,,,Amor prohibido (English: Prohibited Love) is a 1958 Argentine romantic drama film directed by Luis César Amadori and written by Ulises Petit de Murat. The film was based on the novel Anna Karenina by Russian writer Leo Tolstoy.,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://dbpedia.org/resource/Bazaar_(1982_film),Bazaar (1982 film),1982-05-21,7260.0,http://dbpedia.org/resource/Urdu,,,"Bazaar (Hindi: बाज़ार; English: Market) is a 1982 Indian drama film directed by Sagar Sarhadi and starring Naseeruddin Shah, Farooq Shaikh, Smita Patil and Supriya Pathak. The film set in Hyderabad, India, highlights the issue of bride buying in India, through the tragedy of a young girl being sold by needy parents to affluent expatriate Indians in the Gulf.",,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://dbpedia.org/resource/Bazaar_(1982_film),Bazaar (1982 film),1982-05-21,7260.0,http://dbpedia.org/resource/Hindi,,,"Bazaar (Hindi: बाज़ार; English: Market) is a 1982 Indian drama film directed by Sagar Sarhadi and starring Naseeruddin Shah, Farooq Shaikh, Smita Patil and Supriya Pathak. The film set in Hyderabad, India, highlights the issue of bride buying in India, through the tragedy of a young girl being sold by needy parents to affluent expatriate Indians in the Gulf.",,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://dbpedia.org/resource/Be-Shaque,Be-Shaque,1981-12-18,7200.0,http://dbpedia.org/resource/Hindi,,,"Be-Shaque (transl. For sure) is a 1981 Indian Hindi-language thriller drama film directed by Kashinath, starring Mithun Chakraborty, Yogeeta Bali, Amrish Puri and Shakti Kapoor. It is a remake of own Kannada directorial Aparichita.",,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"http://dbpedia.org/resource/Be_Seeing_You,_Father","Be Seeing You, Father",1948-09-13,5100.0,http://dbpedia.org/resource/Italian_language,,,"Be Seeing You, Father (Italian: Arrivederci, papà!) is a 1948 Italian period comedy film directed by Camillo Mastrocinque and starring Gino Bechi, Mariella Lotti and Silvana Pampanini. The film's sets were designed by the art director Ottavio Scotti. The film was a breakthrough for Pampanini, who outshone the more established female star Lotti and rapidly gained appeal at the box office.",,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://dbpedia.org/resource/Beach_Combers,Beach Combers,1936-10-05,513.0,http://dbpedia.org/resource/English_language,,,"Beach Combers is a 1936 animated short subject by Walter Lantz Productions, and features Oswald the Lucky Rabbit.",,N/A,N/A,N/A,N/A,N/A,N/A,N/A
