movie_uri,movie,releaseDate,runtime,duration,language,budget,boxOffice,genres,genres_URIs,actors,actors_URIs,directors,directors_URIs,distributors,distributors_URIs,producers,producers_URIs,composers,composers_URIs,cinematographers,cinematographers_URIs,filmingLocations,filmingLocations_URIs,productionCompanies,productionCompanies_URIs,mainSubjects,mainSubjects_URIs
http://www.wikidata.org/entity/Q25136234,Wonderstruck,2017-05-01T00:00:00Z,117,117,English,,,drama film,http://www.wikidata.org/entity/Q130232,"Michelle Williams, Julianne Moore, Damian Young, Tom Noonan, James Urbaniak, Amy Hargreaves, Anthony Natale, Millicent Simmonds, Oakes Fegley, Cory Michael Smith","http://www.wikidata.org/entity/Q156796, http://www.wikidata.org/entity/Q80405, http://www.wikidata.org/entity/Q1898813, http://www.wikidata.org/entity/Q1339951, http://www.wikidata.org/entity/Q6144533, http://www.wikidata.org/entity/Q18221467, http://www.wikidata.org/entity/Q19518129, http://www.wikidata.org/entity/Q29809869, http://www.wikidata.org/entity/Q20974029, http://www.wikidata.org/entity/Q17012336",Todd Haynes,http://www.wikidata.org/entity/Q446580,Amazon MGM Studios,http://www.wikidata.org/entity/Q4740868,Pamela Koffler,http://www.wikidata.org/entity/Q38914735,Carter Burwell,http://www.wikidata.org/entity/Q374754,Edward Lachman,http://www.wikidata.org/entity/Q616171,,,Killer Films,http://www.wikidata.org/entity/Q6407480,,
http://www.wikidata.org/entity/Q43303311,Awakening the Zodiac,2017-01-01T00:00:00Z,100,100,English,,,"drama film, thriller film","http://www.wikidata.org/entity/Q130232, http://www.wikidata.org/entity/Q2484376",,,Jonathan Wright,http://www.wikidata.org/entity/Q97139572,"Hulu, Sony Pictures Worldwide Acquisitions","http://www.wikidata.org/entity/Q1630304, http://www.wikidata.org/entity/Q7562513",,,Mark Korven,http://www.wikidata.org/entity/Q3294137,,,,,,,,
http://www.wikidata.org/entity/Q48712434,Alien Contact: Outer Space,2017-01-01T00:00:00Z,63,63,English,,,"documentary film, science fiction film","http://www.wikidata.org/entity/Q93204, http://www.wikidata.org/entity/Q471839",,,J. Michael Long,http://www.wikidata.org/entity/Q114946211,Netflix,http://www.wikidata.org/entity/Q907311,,,,,,,,,,,"extraterrestrial life, conspiracy theory","http://www.wikidata.org/entity/Q181508, http://www.wikidata.org/entity/Q159535"
http://www.wikidata.org/entity/Q42048434,Bodied,2017-09-07T00:00:00Z,121,121,English,,,"drama film, musical film, comedy drama","http://www.wikidata.org/entity/Q130232, http://www.wikidata.org/entity/Q842256, http://www.wikidata.org/entity/Q859369","Debra Wilson, Anthony Michael Hall, Jackie Long, Calum Worthy, Adi Shankar, Rory Uphold, Hollow da Don, Dumbfoundead, Charlamagne tha God, Walter Perez","http://www.wikidata.org/entity/Q194032, http://www.wikidata.org/entity/Q361215, http://www.wikidata.org/entity/Q6116482, http://www.wikidata.org/entity/Q2934421, http://www.wikidata.org/entity/Q16223951, http://www.wikidata.org/entity/Q17141311, http://www.wikidata.org/entity/Q17385846, http://www.wikidata.org/entity/Q11233915, http://www.wikidata.org/entity/Q16203002, http://www.wikidata.org/entity/Q7965817",Joseph Kahn,http://www.wikidata.org/entity/Q1363428,YouTube Premium,http://www.wikidata.org/entity/Q18643737,"Eminem, Paul Rosenberg, Adi Shankar","http://www.wikidata.org/entity/Q5608, http://www.wikidata.org/entity/Q764039, http://www.wikidata.org/entity/Q16223951","Bryan Mantia, Melissa Reese","http://www.wikidata.org/entity/Q562892, http://www.wikidata.org/entity/Q23702493",,,,,,,,
http://www.wikidata.org/entity/Q36951270,Loving Pablo,2017-01-01T00:00:00Z,123,123,English,,17500000,"drama film, biographical film, film based on book","http://www.wikidata.org/entity/Q130232, http://www.wikidata.org/entity/Q645928, http://www.wikidata.org/entity/Q52207310","Ronald Reagan, Penélope Cruz, Javier Bardem, Nancy Reagan, Peter Sarsgaard, Óscar Jaenada, Julieth Restrepo, Juan Pablo Gamboa, Joavany Álvarez, Atanas Srebrev","http://www.wikidata.org/entity/Q9960, http://www.wikidata.org/entity/Q39666, http://www.wikidata.org/entity/Q134895, http://www.wikidata.org/entity/Q193426, http://www.wikidata.org/entity/Q315099, http://www.wikidata.org/entity/Q2066366, http://www.wikidata.org/entity/Q5954893, http://www.wikidata.org/entity/Q5248344, http://www.wikidata.org/entity/Q21006665, http://www.wikidata.org/entity/Q15712136",Fernando León de Aranoa,http://www.wikidata.org/entity/Q1398481,Big Bang Media,http://www.wikidata.org/entity/Q28871787,Javier Bardem,http://www.wikidata.org/entity/Q134895,Federico Jusid,http://www.wikidata.org/entity/Q5857687,Alex Catalán,http://www.wikidata.org/entity/Q18221033,,,,,,
http://www.wikidata.org/entity/Q42808989,Crowhurst,2017-01-01T00:00:00Z,103,103,English,,,drama film,http://www.wikidata.org/entity/Q130232,,,Simon Rumley,http://www.wikidata.org/entity/Q3961130,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q27701445,Just Getting Started,2017-12-08T00:00:00Z,91,91,English,,,Christmas film,http://www.wikidata.org/entity/Q28026639,"Morgan Freeman, Jane Seymour, Tommy Lee Jones, Rene Russo, Joe Pantoliano, Elizabeth Ashley, Glenne Headly, Graham Beckel, George Wallace, Johnny Mathis, Sheryl Lee Ralph, Mel Raido, Kat Sawyer-Young, Forrie J. Smith, Drago Sumonja, Eli Goodman, Boots Southerland, Oscar Avila, Johnny Sneed, Whit Washing, Vic Browder, Nick Peine, Kristen Rakes, Teddy Eggleston","http://www.wikidata.org/entity/Q48337, http://www.wikidata.org/entity/Q123849, http://www.wikidata.org/entity/Q170587, http://www.wikidata.org/entity/Q229612, http://www.wikidata.org/entity/Q296883, http://www.wikidata.org/entity/Q434678, http://www.wikidata.org/entity/Q449602, http://www.wikidata.org/entity/Q509026, http://www.wikidata.org/entity/Q3101983, http://www.wikidata.org/entity/Q449612, http://www.wikidata.org/entity/Q457180, http://www.wikidata.org/entity/Q4216187, http://www.wikidata.org/entity/Q15428967, http://www.wikidata.org/entity/Q120757605, http://www.wikidata.org/entity/Q120964451, http://www.wikidata.org/entity/Q17466085, http://www.wikidata.org/entity/Q27468256, http://www.wikidata.org/entity/Q121090509, http://www.wikidata.org/entity/Q64869227, http://www.wikidata.org/entity/Q113679133, http://www.wikidata.org/entity/Q113994999, http://www.wikidata.org/entity/Q120198581, http://www.wikidata.org/entity/Q120563887, http://www.wikidata.org/entity/Q120756413",Ron Shelton,http://www.wikidata.org/entity/Q2141036,Broad Green Pictures,http://www.wikidata.org/entity/Q19818606,,,Alex Wurman,http://www.wikidata.org/entity/Q556523,Barry Peterson,http://www.wikidata.org/entity/Q21999610,,,Broad Green Pictures,http://www.wikidata.org/entity/Q19818606,,
http://www.wikidata.org/entity/Q26720646,The Exception,2017-07-14T00:00:00Z,107,107,English,,,"drama film, romance film","http://www.wikidata.org/entity/Q130232, http://www.wikidata.org/entity/Q1054574","Eddie Marsan, Janet McTeer, Christopher Plummer, Jai Courtney, Ben Daniels, Lily James, Martin Swabey","http://www.wikidata.org/entity/Q45647, http://www.wikidata.org/entity/Q232292, http://www.wikidata.org/entity/Q190523, http://www.wikidata.org/entity/Q604849, http://www.wikidata.org/entity/Q609458, http://www.wikidata.org/entity/Q13217306, http://www.wikidata.org/entity/Q52908560",David Leveaux,http://www.wikidata.org/entity/Q5236525,,,,,Ilan Eshkeri,http://www.wikidata.org/entity/Q1658300,Roman Osin,http://www.wikidata.org/entity/Q7362117,,,,,,
http://www.wikidata.org/entity/Q28494655,Eagles of Death Metal: Nos Amis (Our Friends),2017-01-01T00:00:00Z,84,84,English,,,documentary film,http://www.wikidata.org/entity/Q93204,,,Colin Hanks,http://www.wikidata.org/entity/Q318134,"Netflix, Fandango at Home","http://www.wikidata.org/entity/Q907311, http://www.wikidata.org/entity/Q5371838",,,,,,,,,Live Nation Entertainment,http://www.wikidata.org/entity/Q1061903,Eagles of Death Metal,http://www.wikidata.org/entity/Q1276886
http://www.wikidata.org/entity/Q28842712,Slasher.com,2017-01-01T00:00:00Z,,,English,,,horror film,http://www.wikidata.org/entity/Q200092,"Jewel Shepard, R. A. Mihailoff","http://www.wikidata.org/entity/Q3178476, http://www.wikidata.org/entity/Q3414925",Chip Gubera,http://www.wikidata.org/entity/Q5101505,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q29044026,Sleep Has Her House,2017-09-24T00:00:00Z,90,90,English,,,"drama film, horror film, mystery film","http://www.wikidata.org/entity/Q130232, http://www.wikidata.org/entity/Q200092, http://www.wikidata.org/entity/Q1200678",,,Scott Barley,http://www.wikidata.org/entity/Q30323317,,,Scott Barley,http://www.wikidata.org/entity/Q30323317,Scott Barley,http://www.wikidata.org/entity/Q30323317,,,,,,,,
http://www.wikidata.org/entity/Q21528140,The Scent of Rain and Lightning,2017-03-25T00:00:00Z,,,English,,,drama film,http://www.wikidata.org/entity/Q130232,Maika Monroe,http://www.wikidata.org/entity/Q16235655,Blake Robbins,http://www.wikidata.org/entity/Q23640216,,,,,,,,,,,,,,
